ID;Vorgang;Phase;Arbeitspaket;Verantwortlicher;Abteilung;Plan Start;Plan Ende;Ist Start;Ist Ende;Forecast Start;Forecast Ende;Baseline Start;Baseline Ende;Fortschritt %;Status;Vorgänger_IDs;Abhängigkeitstyp;Zeitversatz_AT;Meilenstein;Meilenstein_Name;Risiko;Risiko_Beschreibung;Maßnahme;Gate;gate_status;Offene_Entscheidung;Entscheidungsverantwortlicher;Lieferant;Externe_Abhängigkeit;Kundensichtbar;Kommentar
T01;Projektstart;Planung;;L. Hoffmann (PM);Projektleitung;2026-04-06;2026-04-06;2026-04-06;2026-04-06;;;2026-04-06;2026-04-06;100;Erledigt;;;;Ja;Projektstart;Niedrig;;;;;;;;;;
T02;Konzept & Layout erstellen;Planung;;J. Becker (Engineering);Engineering;2026-04-06;2026-04-14;2026-04-06;2026-04-14;;;2026-04-06;2026-04-14;100;Erledigt;T01;FS;0;;;Mittel;Layoutänderungen durch Kundenanforderungen möglich;Wöchentlicher Abstimmungstermin mit Kunde;;;;;;;;
T03;Planungsfreigabe;Planung;;L. Hoffmann (PM);Projektleitung;2026-04-14;2026-04-14;2026-04-14;2026-04-14;;;2026-04-14;2026-04-14;100;Erledigt;T02;FS;0;Ja;Planungsfreigabe;Niedrig;;;Planungsfreigabe;erreicht;;;;;;
T04;Bestellung Stahlbau;Beschaffung;;S. Brandt (Einkauf);Einkauf;2026-04-14;2026-04-27;2026-04-14;2026-05-02;;;2026-04-14;2026-04-27;100;Erledigt;T03;FS;0;;;Mittel;Lieferzeiten für Stahlbauteile volatil;Alternativlieferanten vorab angefragt;;;;;Stahlbau GmbH;Ja;;
T05;Beschaffungsfreigabe;Beschaffung;;S. Brandt (Einkauf);Einkauf;2026-05-04;2026-05-04;2026-05-04;2026-05-04;;;2026-05-04;2026-05-04;100;Erledigt;T04,T06,T07;FS;0;Ja;Beschaffungsfreigabe;Niedrig;;;Beschaffungsfreigabe;erreicht;;;;;;
T06;Bestellung Elektrik & Steuerung;Beschaffung;;T. Wagner (Einkauf);Einkauf;2026-04-16;2026-05-04;2026-04-16;;;2026-06-20;2026-04-16;2026-05-04;70;In Arbeit;T03;FS;2;;;Hoch;Halbleiterknappheit bei SPS-Komponenten verzögert Lieferung;Eskalation an Lieferanten, Teillieferung vereinbart;;;Ja;T. Wagner;Elektro Systeme AG;Ja;;
T07;Bestellung Lackiersystem;Beschaffung;;M. Krüger (Einkauf);Einkauf;2026-04-16;2026-04-25;2026-04-16;2026-04-25;;;2026-04-16;2026-04-25;100;Erledigt;T03;FS;2;;;Niedrig;;;;;;;Lackiertechnik Nord GmbH;;;
T08;Voraufbau Stahlbau;Montage;;F. Lindner (Montage);Montage;2026-05-04;2026-05-17;2026-05-04;;;2026-05-20;2026-05-04;2026-05-17;40;In Arbeit;T04,T05,T07;FS;0;;;Mittel;Personalverfügbarkeit für Montageteam eng;Zusätzliches Team für KW20 angefragt;;;;;;;;
T09;Voraufbau abgeschlossen;Montage;;F. Lindner (Montage);Montage;2026-05-17;2026-05-17;;;;;2026-05-17;2026-05-17;0;Nicht begonnen;T08;FS;0;Ja;Voraufbau abgeschlossen;Niedrig;;;;;;;;;;
T10;Montagefreigabe;Montage;;F. Lindner (Montage);Montage;2026-05-17;2026-05-17;;;;;2026-05-17;2026-05-17;0;Nicht begonnen;T09;FS;0;Ja;Montagefreigabe;Mittel;Materialverfügbarkeit für Restmontage unsicher;Eskalation an Lieferanten, alternative Beschaffung prüfen;Montagefreigabe;gefährdet;Ja;Projektleitung;;;;
T11;Montage Stahlbau;Montage;;F. Lindner (Montage);Montage;2026-05-17;2026-06-06;2026-05-17;;;2026-06-11;2026-05-17;2026-06-06;50;In Arbeit;T10;FS;0;;;Mittel;Wetterabhängige Außenarbeiten;Wetterfenster eng abgestimmt, Pufferzeit eingeplant;;;;;;;;
T12;Montage Elektrik & Steuerung;Montage;;T. Wagner (Montage);Montage;2026-05-20;2026-06-05;2026-05-20;;;;2026-05-20;2026-06-05;30;In Arbeit;T06;FS;5;;;Hoch;Abhängigkeit von verspäteter SPS-Lieferung (siehe Beschaffung);Vorzeitige Teillieferung mit Lieferant vereinbart;;;;;;;;
T13;Montage Lackieranlage;Montage;;M. Krüger (Montage);Montage;2026-05-12;2026-05-31;2026-05-12;;;;2026-05-12;2026-05-31;60;In Arbeit;T07;SF;0;;;Mittel;Inbetriebsetzung Lackanlage erfordert Herstellersupport vor Ort;Termin mit Hersteller für KW24 fixiert;;;;;;;;
T14;Inbetriebnahmefreigabe;Inbetriebnahme;;L. Hoffmann (PM);Projektleitung;2026-06-06;2026-06-06;;;;;2026-06-06;2026-06-06;0;Nicht begonnen;T11;FS;0;Ja;Inbetriebnahmefreigabe;Mittel;;;Inbetriebnahmefreigabe;im_plan;;;;;;
T15;Inbetriebnahme Mechanik;Inbetriebnahme;;F. Lindner (Inbetriebnahme);Inbetriebnahme;2026-06-06;2026-06-16;;;;;2026-06-06;2026-06-16;0;Nicht begonnen;T14;FS;0;;;Mittel;Erstinbetriebnahme neuer Anlagenkomponenten;Hersteller-Inbetriebnahmetechniker vor Ort eingeplant;;;;;;;;
T16;Inbetriebnahme Elektrik & Steuerung;Inbetriebnahme;;T. Wagner (Inbetriebnahme);Inbetriebnahme;2026-06-06;2026-06-21;;;;;2026-06-06;2026-06-21;0;Nicht begonnen;T14;FS;0;;;Hoch;Softwareintegration mit Bestandsanlage komplex;Schnittstellentests vorab im Testsystem durchführen;;;Ja;T. Wagner;;;;Offene Frage: ob Parallelbetrieb mit Altsteuerung temporär möglich ist
T17;Abnahme;Inbetriebnahme;;L. Hoffmann (PM);Projektleitung;2026-06-21;2026-06-21;;;;;2026-06-21;2026-06-21;0;Nicht begonnen;T15,T16;FS;0;Ja;Abnahme;Mittel;;;Abnahmefreigabe;offen;;;;;;
T18;Übergabe an Betrieb;Inbetriebnahme;;L. Hoffmann (PM);Projektleitung;2026-06-21;2026-06-21;;;;2026-07-05;2026-06-21;2026-06-21;0;Nicht begonnen;T17;FS;0;Ja;Übergabe an Betrieb;Niedrig;;;;;;;;;Ja;Abschlusspräsentation für Kunde vorbereiten
T19;Baustellenabsicherung einrichten;Montage;;F. Lindner (Montage);Montage;2026-05-17;2026-05-20;2026-05-17;2026-05-20;;;2026-05-17;2026-05-20;100;Erledigt;T10;SS;0;;;Niedrig;;;;;;;;;;
T20;Abschlussdokumentation;Dokumentation;;J. Becker (Engineering);Engineering;2026-06-19;2026-06-21;;;;;2026-06-19;2026-06-21;0;Nicht begonnen;T16;FF;0;;;Niedrig;;;;;;;;;;
T21;Bestandsanlage außer Betrieb nehmen;Inbetriebnahme;;T. Wagner (Inbetriebnahme);Inbetriebnahme;2026-06-01;2026-06-06;2026-06-01;2026-06-06;;;2026-06-01;2026-06-06;100;Erledigt;T15;SF;0;;;Mittel;Übergangszeitraum mit Parallelbetrieb sicherstellen;Abschaltplan mit Betrieb abgestimmt;;;;;;;;
